track,plan,element,element_kind,consumed_by_engine,source_channel,source_file,vintage,specificity,extractor,evidence,confidence,note
state,AZ06,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,AZ06,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.actives_tot x inactive_adj(0.34),high,fallback chain per model_input_dictionary.md §3
state,AZ06,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,AZ06,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,AZ127,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/AZ127/AZ127_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,AZ127,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/AZ127/AZ127_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,AZ127,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/AZ127/AZ127_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,AZ127,mortality,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,availableData=False
state,AZ127,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,AZ127,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/AZ127/AZ127_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,AZ127,retirement,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,availableData=False
state,AZ127,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,availableData=False
state,AZ127,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,AZ127,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.PayrollGrowthAssumption,high,fallback chain per model_input_dictionary.md §3
state,AZ127,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,AZ127,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InactiveVestedMembers,high,fallback chain per model_input_dictionary.md §3
state,AZ127,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,AZ127,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,CA10,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA10/CA10_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA10,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA10/CA10_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA10,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA10/CA10_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA10,mortality,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA10/CA10_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA10,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,CA10,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA10/CA10_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA10,retirement,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA10/CA10_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementf+retirementm+retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA10,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; csv_matrices precursors: refundf+refundm; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA10,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: disabilityf+disabilitym; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,CA10,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.PayrollGrowthAssumption,high,fallback chain per model_input_dictionary.md §3
state,CA10,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,CA10,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.actives_tot x inactive_adj(0.0874589),high,fallback chain per model_input_dictionary.md §3
state,CA10,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,CA10,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,CA111,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA111/CA111_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA111,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA111/CA111_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA111,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA111/CA111_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA111,mortality,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA111/CA111_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA111,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,CA111,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA111/CA111_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA111,retirement,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA111,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA111,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,CA111,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.PayrollGrowthAssumption,high,fallback chain per model_input_dictionary.md §3
state,CA111,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,CA111,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.actives_tot x inactive_adj(0.275517),high,fallback chain per model_input_dictionary.md §3
state,CA111,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,CA111,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,CA144,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA144/CA144_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA144,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA144/CA144_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA144,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA144/CA144_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA144,mortality,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA144/CA144_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA144,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,CA144,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA144/CA144_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA144,retirement,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA144/CA144_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA144,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA144,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,CA144,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.WageInflation,high,fallback chain per model_input_dictionary.md §3
state,CA144,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,CA144,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InactiveVestedMembers,high,fallback chain per model_input_dictionary.md §3
state,CA144,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,CA144,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,CA43,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA43/CA43_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA43,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA43/CA43_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA43,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA43/CA43_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA43,mortality,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA43/CA43_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA43,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,CA43,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA43/CA43_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA43,retirement,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA43,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA43,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,CA43,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.PayrollGrowthAssumption,high,fallback chain per model_input_dictionary.md §3
state,CA43,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,CA43,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InactiveVestedMembers,high,fallback chain per model_input_dictionary.md §3
state,CA43,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,CA43,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,CA97,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA97/CA97_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA97,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA97/CA97_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA97,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA97/CA97_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA97,mortality,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA97/CA97_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA97,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,CA97,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA97/CA97_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA97,retirement,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA97,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA97,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,CA97,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.PayrollGrowthAssumption,high,fallback chain per model_input_dictionary.md §3
state,CA97,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,CA97,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InactiveVestedMembers,high,fallback chain per model_input_dictionary.md §3
state,CA97,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,CA97,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,CA98,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA98/CA98_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA98,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA98/CA98_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA98,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA98/CA98_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA98,mortality,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA98/CA98_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: mortalityact+mortalityret; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA98,wagegrowth,distribution_sheet,no_ghost_sheet,n/a,,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagegrowth; source AV/CAFR PDFs in plan folder,high,engine uses PPD wage-growth chain instead
state,CA98,withdrawal,distribution_sheet,yes,plan_workbook,Data/Plans/States/CA98/CA98_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: withdrawalf+withdrawalm; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,CA98,retirement,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retirementn+retiremento; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA98,refund,distribution_sheet,fallback,default_assumptions,Data/Common/states/default_assumptions.xlsx,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,availableData=False
state,CA98,disability,distribution_sheet,no_ghost_sheet,n/a,,FY2017,shared_default,brookings,workbook notes: thin; source AV/CAFR PDFs in plan folder,high,engine uses constant DisabilityPayoutRate=0.025
state,CA98,WageGrowth,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.WageInflation,high,fallback chain per model_input_dictionary.md §3
state,CA98,Inflation,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InflationAssumption_GASB,high,fallback chain per model_input_dictionary.md §3
state,CA98,InactiveScaling,scalar_resolution,yes,ppd_panel,Data/Common/states/ppd-data-latest.xlsx,fy2022,plan_specific,CRR_digest,resolved: ppd_panel.InactiveVestedMembers,high,fallback chain per model_input_dictionary.md §3
state,CA98,tier_rules,tier_rules,yes,planchanges,Data/Common/states/planchanges_main_2022_clean.xlsx,2022 update (curated 2024),plan_specific,in-house (from Brookings planchanges_main),row present in sheet 'in',high,
state,CA98,pctmale/pctmrg/reduct/inactive_adj,scalar_resolution,yes,legacy_ppd_csv,Data/Common/states/PPD_planlevel_main_updated.csv,2022 file,plan_specific,brookings-era,planid row present,high,underlying derivation undocumented (Tier C)
state,DC20,ageservice,distribution_sheet,yes,plan_workbook,Data/Plans/States/DC20/DC20_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: ageservice; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,DC20,retdist,distribution_sheet,yes,plan_workbook,Data/Plans/States/DC20/DC20_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: retbenrel+retdist; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
state,DC20,wagerel,distribution_sheet,yes,plan_workbook,Data/Plans/States/DC20/DC20_2017.xlsx,FY2017,plan_specific,brookings,workbook notes: thin; csv_matrices precursors: wagerel; source AV/CAFR PDFs in plan folder,high,extraction assumptions undocumented (Tier C)
